GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001,AJWNE001,AJWNE002,AJWNE003,AJWNE004,AJWNE005,AJWNE006,AJWNE007,AJWNE008,AJWNE009,AJWNE010,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJWWE001,AJWWE002,AJWWE003,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXIE001,AJXIE002,AJXIE003,AJXIE004,AJXIE005,AJXIE006,AJXIE007,AJXIE008,AJXIE009,AJXIE010,AJXIE011,AJXIE012,AJXIE013,AJXIE014,AJXIE015,AJXIE016,AJXIE017,AJXIE018,AJXIE019,AJXIE020,AJXIE021,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY4E001,AJY4E002,AJY4E003,AJY4E004,AJY4E005,AJY4E006,AJY4E007,AJY4E008,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,AJZAE001
"G130","2014-2018",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",,,10297484,10297484,6079976,3239300,33484,402501,6095,283680,252448,35861,216587,10297484,9329021,5476441,3195363,18416,399223,5070,30394,204114,9209,194905,968463,603535,43937,15068,3278,1025,253286,48334,26652,21682,10297484,9329021,968463,4667378,4165302,3708394,456908,342977,66096,26056,12648,9131,99181,71421,795,23545,3093,327,12680,4866,10723,69380,50744,254502,1352289,1320023,944326,467648,289564,178084,330896,78883,23760,35407,7732,375697,356043,112114,102972,9142,243929,235221,8708,19654,32266,3709488,2501768,1768511,733257,175248,558009,1207720,997979,209741,6786547,91231,1168,1421,3217,6428,14534,11356,17939,65172,34640,77650,121890,165149,172468,119651,1566284,323848,379243,1014998,518144,1282947,564866,142787,89516,10024689,727406,880308,495511,487769,687903,289389,6456403,3709488,269435,178646,181252,186094,184985,181841,167952,173008,155100,291450,367877,453876,307352,193627,201822,215171,55679
"G150","2014-2018",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",,,1422029,1422029,355612,26266,2987,536842,143274,15292,341756,9805,331951,1422029,1274067,314536,24472,1877,522731,132583,1591,276277,1600,274677,147962,41076,1794,1110,14111,10691,13701,65479,8205,57274,1422029,1274067,147962,700228,566883,468932,97951,71338,16234,6340,3150,889,45326,44999,53,168,45,61,540,4379,5956,31742,12050,33352,245955,238767,183087,83684,48803,34881,56303,20150,5910,12118,4922,55680,51163,19581,16911,2670,31582,28773,2809,4517,7188,456782,319069,237269,81800,26023,55777,137713,108906,28807,988367,10953,143,303,456,1322,2147,1690,1835,8965,2793,6791,8148,11875,10850,12425,251280,22353,55742,152114,105186,212053,72121,22668,14154,1383626,66582,70934,40122,41754,68422,30354,1065458,456782,24195,13813,14000,14398,14515,15762,14993,17106,14490,31024,44890,64472,50968,37338,42240,42578,78084
"G160","2014-2018",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",,,1687809,1687809,1527262,11536,22790,23758,2761,53110,46592,6908,39684,1687809,1478736,1387654,10739,18775,22809,2348,1038,35373,861,34512,209073,139608,797,4015,949,413,52072,11219,6047,5172,1687809,1478736,209073,757408,670856,595426,75430,56894,10506,4768,2031,1231,5418,5201,36,64,63,54,410,2036,7214,19434,6034,46006,253801,249330,177146,88877,59323,29554,71837,8024,3203,4058,1147,72184,68094,24336,22137,2199,43758,41929,1829,4090,4471,618331,418688,335422,83266,26870,56396,199643,163549,36094,1089266,10670,366,125,467,835,2095,1701,1698,8934,2692,8590,11422,15485,19551,18060,242641,59219,93908,193205,104333,198648,65700,15775,13146,1656621,92999,135883,84711,88146,130665,56274,1067943,618331,38492,29568,29865,33635,31268,34988,32391,31324,28244,54943,70028,76641,51057,28311,25253,22323,53089
"G170","2014-2018",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",,,12821497,12821497,9189185,1824125,31864,690822,4582,762506,318413,62866,255547,12821497,10646655,7894286,1796057,15037,685343,3088,20105,232739,11627,221112,2174842,1294899,28068,16827,5479,1494,742401,85674,51239,34435,12821497,10646655,2174842,6124144,4962939,4476231,486708,375334,68689,23962,11343,7380,578636,229402,2973,199271,146470,520,15651,5379,39586,182578,48646,290729,1894903,1824233,1233620,618593,395421,223172,452298,92128,25849,36569,8183,590613,565575,178610,165323,13287,386965,374506,12459,25038,70670,4830038,3117333,2300306,817027,221315,595712,1712705,1417008,295697,8682343,110053,1540,1499,3765,9409,19267,15338,21906,108617,25058,116044,96288,130607,153866,151330,1955687,311848,568857,1230951,692622,1801833,847698,194142,114118,12523283,753709,881894,515668,504434,721667,307825,8838086,4830038,314802,194284,210540,220865,206622,209338,198458,201578,177177,359558,469039,613917,452341,298758,335066,367695,63575
"G180","2014-2018",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",,,6637426,6637426,5548277,619472,14925,144991,2818,144648,162295,20887,141408,6637426,6187159,5275162,610343,12125,143883,2133,9793,133720,3794,129926,450267,273115,9129,2800,1108,685,134855,28575,17093,11482,6637426,6187159,450267,3107072,2851074,2578594,272480,213520,33103,12153,8091,5613,31522,24684,457,1563,4469,349,2346,3459,12793,64980,24295,116603,996063,957455,652994,335029,220708,114321,255722,32668,10902,15014,3659,304461,290910,92530,84783,7747,198380,191477,6903,13551,38608,2553818,1668393,1238730,429663,122762,306901,885425,726648,158777,4399815,40742,717,647,1364,2183,4799,4687,5432,23220,12104,68745,67275,97514,101520,71675,1248789,227142,293011,605831,382510,727108,304487,62892,45421,6435742,414740,493619,287516,293239,433276,173699,4339653,2553818,161937,117149,130218,132008,132773,135371,126209,128048,112088,218078,274815,335317,214337,125469,113344,96657,54325
"G190","2014-2018",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",,,3132499,3132499,2827889,109911,11549,75083,3129,39168,65770,5130,60640,3132499,2949203,2695888,107471,9067,74640,2863,2806,56468,633,55835,183296,132001,2440,2482,443,266,36362,9302,4497,4805,3132499,2949203,183296,1583271,1416582,1285034,131548,101329,17458,6453,4226,2082,17435,16984,112,72,32,235,1243,2417,7766,51801,10755,75272,513312,488249,325283,167424,112173,55251,139944,9631,2369,4791,1124,162966,156349,48226,44598,3628,108123,105005,3118,6617,25063,1256855,800510,634021,166489,53290,113199,456345,367268,89077,2081373,16321,489,313,380,1125,2320,1431,2308,9044,4117,27634,18838,25678,32960,23751,565437,82700,152796,288291,238423,395820,132751,33970,24476,3030572,160431,193203,127966,124014,180262,83130,2161566,1256855,68502,55656,59026,60647,59917,61240,57473,61014,53332,104907,137981,178095,116267,68003,61585,53210,58580
"G200","2014-2018",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",,,2908776,2908776,2460619,169801,24050,83531,2143,67588,101044,9398,91646,2908776,2568160,2214543,163713,19504,82887,1827,2302,83384,1092,82292,340616,246076,6088,4546,644,316,65286,17660,8306,9354,2908776,2568160,340616,1422992,1299825,1169866,129959,97932,18831,6939,4206,2051,6898,6397,112,130,39,220,730,2557,5119,33452,11029,63382,437777,417661,283073,144996,96672,48324,115870,11763,3869,5245,1330,134588,129531,40328,37790,2538,89203,86697,2506,5057,20116,1124549,731657,571526,160131,49491,110640,392892,325708,67184,1894675,16970,383,330,718,1476,2793,2235,2326,13976,5295,22710,21071,26026,33295,26115,415835,76984,152303,289742,161016,394462,168742,36091,23781,2825033,154010,196270,124797,125700,188397,75442,1960417,1124549,65369,49481,51662,53743,57200,57142,53796,55380,48322,92506,120175,147236,100104,59025,58781,54627,57422
"G210","2014-2018",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",,,4440204,4440204,3866676,354112,9888,62802,2814,44086,99826,8026,91800,4440204,4281460,3764082,349407,8498,62432,2339,6057,88645,1732,86913,158744,102594,4705,1390,370,475,38029,11181,6294,4887,4440204,4281460,158744,1929677,1769353,1584648,184705,146314,23389,7997,4640,2365,20400,19943,127,82,95,153,1198,1741,3692,42943,20648,69702,691509,667218,459032,237740,150320,87420,175432,24005,6602,12429,2824,208186,200098,64165,58781,5384,135933,131523,4410,8088,24291,1728681,1135709,836598,299111,82763,216348,592972,491997,100975,3004004,32771,298,485,1087,1984,4879,4312,7057,17086,18828,86211,63815,76936,71826,41998,787966,203825,199735,428500,244802,415937,211163,53145,29358,4302315,334537,437543,217239,213552,298531,120248,2680665,1728681,152774,105004,100724,97642,94969,93022,85583,84813,73021,137713,169150,199666,129000,76995,67534,61071,48392
"G220","2014-2018",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",,,4663616,4663616,2901106,1502916,26272,79872,1468,60419,91563,8858,82705,4663616,4428696,2744265,1492230,24014,79137,1154,8905,78991,2194,76797,234920,156841,10686,2258,735,314,51514,12572,6664,5908,4663616,4428696,234920,2007599,1847379,1660274,187105,139278,28876,11098,4510,3343,25582,23711,1304,234,107,226,1948,2486,10474,36198,23242,60290,676707,653978,447240,229423,137237,92186,160522,28589,6666,18597,3443,206738,197425,66180,61032,5148,131245,126998,4247,9313,22729,1736021,1113951,751595,362356,88389,273967,622070,524332,97738,3107941,36825,570,327,1642,1870,6373,4741,8940,22908,24783,49239,64539,93018,102798,53387,889374,166394,169443,486729,186448,483170,173858,51432,29133,4531598,393480,484914,248588,227702,309236,126005,2741673,1736021,167068,108333,107587,104135,97404,87724,77778,77475,69014,126646,154607,188543,131031,82248,81945,74483,47942
"G230","2014-2018",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",,,1332813,1332813,1259217,17881,8302,14917,318,2970,29208,1297,27911,1332813,1311392,1244525,16990,7722,14814,258,843,26240,379,25861,21421,14692,891,580,103,60,2127,2968,918,2050,1332813,1311392,21421,651799,574444,511466,62978,51040,7023,2159,1097,1659,4159,3384,49,132,179,415,1561,927,2729,25602,4852,37525,259176,250136,165672,83238,51908,31330,68597,7203,2106,3090,1438,84464,78653,25961,22622,3339,52692,49535,3157,5811,9040,556955,347959,272403,75556,24867,50689,208996,163114,45882,967897,5409,199,93,147,162,375,527,902,1790,2733,14094,10002,14335,13563,10095,260693,47320,59404,130205,96570,190172,78014,18281,12812,1296990,64480,97263,56084,57443,82270,36345,903105,556955,33789,30791,29911,27098,27207,28358,26883,24690,23151,45847,59728,74153,49024,27811,25562,22952,55425
"G240","2014-2018",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",,,6003435,6003435,3373181,1788090,15644,374277,3059,249815,199369,23951,175418,6003435,5414523,3084868,1759438,10949,371981,2265,19368,165654,7236,158418,588912,288313,28652,4695,2296,794,230447,33715,16715,17000,6003435,5414523,588912,3021967,2506407,2233034,273373,208320,37430,14112,8789,4722,258397,122601,1602,111886,21835,473,7710,2553,10199,70350,23926,142425,875337,846742,591276,288553,179004,109549,206867,52130,17044,21132,5550,255466,240774,74990,67281,7709,165784,157597,8187,14692,28595,2192518,1466554,1053860,412694,105838,306856,725964,591551,134413,4114858,49217,1085,1082,2027,4674,9076,6694,9897,30944,15136,34291,49308,63545,66849,65932,894293,127554,244463,534708,273518,877641,522662,124561,105701,5862050,267774,285722,170309,188100,276875,117016,4556254,2192518,103376,63381,65727,66417,71878,73649,72866,76848,69274,149066,201098,286460,238462,174830,222637,256549,81868
"G250","2014-2018",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",,,6830193,6830193,5360006,510558,14493,442574,2329,284740,215493,33401,182092,6830193,6041066,4930412,463796,8890,440336,1698,53268,142666,14354,128312,789127,429594,46762,5603,2238,631,231472,72827,19047,53780,6830193,6041066,789127,3500223,2721039,2458064,262975,205921,33260,12026,6842,4926,358143,118713,7175,168360,60504,3391,8352,2932,29651,171603,32469,176034,1078224,1037089,690349,337854,206631,131223,255098,54006,18096,19264,6031,346740,327252,101653,91815,9838,225599,215493,10106,19488,41135,2601914,1651808,1224142,427666,109720,317946,950106,743506,206600,4748795,68153,842,1099,2469,5147,10665,17179,14989,28556,16803,48303,49215,62015,60121,68804,1019399,131447,228477,512307,365103,1128877,637628,141903,129294,6593960,333853,376452,207251,199134,287170,122836,5067264,2601914,141665,117095,99967,96039,90190,92898,84349,87098,77960,159016,223272,311620,262710,199140,247215,311680,77378
"G260","2014-2018",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",,,9957488,9957488,7818588,1375424,53235,304403,2979,119141,283718,25580,258138,9957488,9459591,7489371,1360345,45772,303059,2464,14334,244246,6635,237611,497897,329217,15079,7463,1344,515,104807,39472,18945,20527,9957488,9459591,497897,4504994,4110477,3714050,396427,309901,52093,19241,9753,5439,61568,59491,427,845,336,469,5082,4067,19549,101150,28104,174997,1620944,1572739,1070600,554280,357774,196506,416135,53321,15350,24755,6759,502139,478704,156043,143536,12507,322661,310598,12063,23435,48205,3909509,2514380,1851321,663059,185523,477536,1395129,1146430,248699,6772215,72034,1177,1279,1349,3087,5549,5225,9598,24173,14817,61922,70754,122941,140989,106642,1695208,271601,515266,1074799,636753,1179677,559642,118563,79170,9731374,654072,802936,432134,421839,614636,252254,6553503,3909509,270974,182415,193595,200896,194588,201336,185299,189195,166406,318176,400946,485187,329368,202211,201893,187024,54938
"G270","2014-2018",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",,,5527358,5527358,4606044,342186,58982,262359,2187,97833,157767,13309,144458,5527358,5234594,4438071,336505,53168,260797,1799,7021,137233,3286,133947,292764,167973,5681,5814,1562,388,90812,20534,10023,10511,5527358,5234594,292764,2879806,2488145,2243581,244564,188406,32398,12849,7018,3893,103390,93750,1918,4242,3216,264,2632,4209,22023,78319,18148,162940,830112,796051,537324,273110,182507,90603,227035,20888,5907,7866,2518,258727,246430,79621,72761,6860,166809,160413,6396,12297,34061,2167801,1395514,1103647,291867,93217,198650,772287,615196,157091,3731762,44273,567,595,1100,1824,3322,2949,3187,13042,5481,32902,24429,36412,45475,46843,814573,115485,250536,541561,424424,871363,315403,81713,54303,5403634,237017,310425,189745,190884,279186,121778,4074599,2167801,95813,84069,80874,87853,87858,89569,88183,91810,83183,165587,224732,303935,221933,151454,156891,154057,68411
